review_id,compound_score
6,0.6631
7,0.9783
8,0.9937
9,0.9154
10,0.9992
11,-0.7352
12,0.9775
13,0.9154
14,0.5467
15,0.3612
16,0.9926
17,0.9861
18,0.381
19,0.96
20,0.9967
21,0.9775
22,0.9904
23,0.9763
24,0.9809
25,0.793
26,0.7469
27,0.9987
28,0.9158
29,0.935
30,0.9732
31,0.9472
32,0.9472
33,0.3612
34,0.986
35,0.9924
36,0.9638
37,0.9062
38,0.9991
39,0.9731
40,0.9795
41,-0.7352
42,0.9809
43,0.9569
44,0.9932
45,0.9986
46,0.629
47,0.9975
48,0.1546
49,0.1823
50,-0.4019
51,0.8591
52,0.9809
53,0.4762
54,0.6925
55,0.8957
56,0.9697
57,0.9867
58,0.9967
59,0.9936
60,0.9738
61,0.9118
62,0.936
63,0.9337
64,0.9633
65,0.8201
66,0.9475
67,0.9679
68,0.9932
69,0.9141
70,0.9724
71,0.381
72,0.9967
73,0.9134
74,0.9784
75,0.9679
76,0.9992
77,0.9967
78,0.9345
79,0.9668
80,0.9679
81,0.9987
82,0.9475
83,0.9778
84,0.9731
85,0.629
86,0.9992
87,0.9924
88,0.9764
89,0.986
90,0.9158
91,0.9992
92,0.9285
93,0.9633
94,0.9929
95,-0.296
96,0.9472
97,0.5252
98,0.9982
99,0.9929
100,0.9987
101,-0.673
102,0.9967
103,0.9964
104,0.9989
105,0.9472
106,0.9709
107,0.9482
108,0.9433
109,0.9992
110,0.8501
111,0.7469
112,0.9141
113,0.9936
114,0.9827
115,0.965
116,0.9967
117,0.957
118,0.9382
119,0.765
120,0.8501
121,0.9449
122,0.9967
123,0.988
124,0.9967
125,0.9617
126,0.9831
127,0.9439
128,0.765
129,0.9986
130,0.9707
131,0.986
132,0.9439
133,0.8966
134,0.8201
135,0.9932
136,0.9967
137,0.9926
138,0.8735
139,0.7722
140,0.9345
141,0.9141
142,0.9962
143,0.9967
144,0.9904
145,0.9775
146,0.9904
147,0.3612
148,0.6729
149,0.9507
150,0.9929
151,0.9624
152,0.7469
153,0.9784
154,0.7351
155,0.9895
156,0.6357
157,0.629
158,0.9967
159,0.9992
160,0.9967
161,0.1546
162,0.9993
163,0.9761
164,0.9924
165,-0.673
166,0.1546
167,0.9525
168,0.1546
169,0.9154
170,0.8966
171,0.952
172,0.9439
173,0.9828
174,0.9932
175,-0.673
176,0.1546
177,0.6689
178,0.8966
179,0.9987
180,0.9986
181,0.9246
182,0.9996
183,0.952
184,0.9743
185,0.765
186,0.9784
187,0.9992
188,0.1546
189,0.9505
190,0.9985
191,0.9472
192,0.9986
193,0.9987
194,0.6759
195,0.9867
196,0.8966
197,0.9967
198,0.9638
199,0.899
200,-0.7352
201,0.6816
202,0.9764
203,0.9867
204,0.9732
205,0.9987
206,0.8984
207,0.9997
208,0.9472
209,0.9246
210,0.629
211,0.9967
212,0.8501
213,0.9929
214,0.9992
215,0.9141
216,0.9472
217,0.9943
218,0.9992
219,0.9679
220,0.9505
221,0.9962
222,0.9783
223,0.9472
224,0.986
225,0.9906
226,0.8974
227,0.936
228,0.9926
229,0.9697
230,0.986
231,0.9338
232,0.9784
233,-0.296
234,0.9062
235,0.9433
236,0.9964
237,0.9652
238,0.9986
239,0.995
240,0.9967
241,0.9743
242,0.9833
243,0.9844
244,0.9844
245,0.936
246,0.9906
247,0.9967
248,0.9906
249,0.9925
250,0.9936
251,0.8462
252,0.9778
253,0.9732
254,0.9987
255,0.9246
256,0.9534
257,0.9775
258,0.9313
259,0.9943
260,0.9982
261,0.9246
262,0.9883
263,0.9787
264,0.9982
265,0.9246
266,0.7933
267,-0.673
268,0.9883
269,0.3612
270,0.8966
271,0.9764
272,0.9996
273,0.9472
274,0.9475
275,0.9932
276,0.2644
277,0.9831
278,0.986
279,0.9732
280,0.9987
281,0.9982
282,0.9992
283,0.9932
284,0.9001
285,0.9867
286,0.9666
287,0.9216
288,0.9967
289,0.9472
290,0.9992
291,0.9989
292,0.9707
293,0.9334
294,0.9732
295,0.9983
296,0.9783
297,0.9919
298,0.9062
299,0.6631
300,0.9062
301,0.8966
302,0.2644
303,0.7722
304,0.8591
305,-0.393
306,0.9814
307,0.9385
308,0.3612
309,0.8201
310,0.9982
311,0.9809
312,-0.2755
313,0.9488
314,0.9507
315,0.9937
316,0.9732
317,0.9118
318,-0.8471
319,0.6729
320,-0.2755
321,0.9617
322,-0.296
323,0.4588
324,0.9821
325,0.9424
326,0.9924
327,-0.0161
328,0.96
329,0.7772
330,0.9569
331,0.8243
332,0.9937
333,0.9992
334,0.9822
335,0.2644
336,-0.4019
337,0.8664
338,0.8201
339,0.6759
340,0.4939
341,0.9246
342,0.9982
343,-0.296
344,-0.0161
345,0.9743
346,0.8974
347,-0.296
348,0.9666
349,0.9986
350,0.997
351,0.4404
352,0.9967
353,0.3612
354,0.9967
355,0.8735
356,0.9141
357,0.3734
358,0.9967
359,0.9285
360,0.9569
361,0.9154
362,0.9141
363,0.9986
364,0.9962
365,0.9781
366,0.9992
367,0.9638
368,0.9937
369,0.9929
370,0.4939
371,0.965
372,0.3612
373,0.9763
374,0.4404
375,0.9992
376,0.8966
377,0.765
378,0.9647
379,0.9895
380,0.9937
381,0.9833
382,0.7579
383,0.9246
384,0.9844
385,0.9439
386,0.9141
387,0.9062
388,0.9992
389,0.9855
390,0.9652
391,0.9883
392,0.8735
393,0.916
394,0.1546
395,-0.673
396,0.9967
397,0.629
398,0.9141
399,0.9763
400,0.9962
401,0.8176
402,0.9439
403,0.899
404,0.765
405,0.997
406,0.7003
407,0.3612
408,0.9992
409,0.9783
410,0.9895
411,0.6689
412,0.9787
413,0.9967
414,0.7236
415,0.9158
416,0.765
417,0.8501
418,0.972
419,0.9472
